RoleNameInSNOW, RoleNameInIRIS
CS,CS READ ONLY
Read Only,READ ONLY
Finance, FIANANCE
R&S Assistant Manager,R&S ASSISTANT MANAGER
R&S Manager,R&S MANAGER
A/L Participation Assistant Manager,A/L PARTICIPATION ASS. MANAGER
Agency Management Assistant Manager,AGENCY MANAGEMENT ASS. MANAGER
Agency Management Manager,AGENCY MANAGEMENT MANAGER
Iccs Assistant Manager,ICCS ASS. MANAGER
Iccs Manager,ICCS MANAGER
CPS,CPS
Central ITS Admin,CENTRAL SWIFT ADMINISTRATOR
R&S SME,R&S SME
Regional R&S Admin,REGIONAL R&S ADMINISTRATOR
Central R&S Admin,CENTRAL R&S ADMINISTRATOR
A/L Participation Manager,A/L PARTICIPATION MANAGER
Signatories,SIGNATORIES
R&S ASSISTANT MANAGER ? BCP,R&S ASSISTANT MANAGER ? BCP
R&S MANAGER ? BCP,R&S MANAGER ? BCP
SIGNATORIES ? BCP,SIGNATORIES ? BCP
Quality Role,QUALITY
